kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
8107,81,Maluku,7,Kab Seram Bagian Timur
8108,81,Maluku,8,Kab Maluku Barat Daya
8109,81,Maluku,9,Kab Buru Selatan
8171,81,Maluku,71,Kota Ambon
8172,81,Maluku,72,Kota Tual
8201,82,Maluku Utara,1,Kab Halmahera Barat
8202,82,Maluku Utara,2,Kab Halmahera Tengah
8203,82,Maluku Utara,3,Kab Kepulauan Sula
8204,82,Maluku Utara,4,Kab Halmahera Selatan
8205,82,Maluku Utara,5,Kab Halmahera Utara
8206,82,Maluku Utara,6,Kab Halmahera Timur
8207,82,Maluku Utara,7,Kab Pulau Morotai
8208,82,Maluku Utara,8,Kab Pulau Taliabu
8271,82,Maluku Utara,71,Kota Ternate
8272,82,Maluku Utara,72,Kota Tidore Kepulauan
9101,91,Papua Barat,1,Kab Fak Fak
9102,91,Papua Barat,2,Kab Kaimana
9103,91,Papua Barat,3,Kab Teluk Wondama
9104,91,Papua Barat,4,Kab Teluk Bintuni
9105,91,Papua Barat,5,Kab Manokwari
9111,91,Papua Barat,11,Kab Manokwari Selatan
9112,91,Papua Barat,12,Kab Pegunungan Arfak
9201,92,Papua Barat Daya,1,Kab Raja Ampat
9202,92,Papua Barat Daya,2,Kab Sorong
9203,92,Papua Barat Daya,3,Kab Sorong Selatan
9204,92,Papua Barat Daya,4,Kab Maybrat
9205,92,Papua Barat Daya,5,Kab Tambrauw
9271,92,Papua Barat Daya,71,Kota Sorong
9403,94,Papua,3,Kab Jayapura
9408,94,Papua,8,Kab Kepulauan Yapen
9409,94,Papua,9,Kab Biak Numfor
9419,94,Papua,19,Kab Sarmi
9420,94,Papua,20,Kab Keerom
9426,94,Papua,26,Kab Waropen
9427,94,Papua,27,Kab Supiori
9428,94,Papua,28,Kab Mamberamo Raya
9471,94,Papua,71,Kota Jayapura
9501,95,Papua Selatan,1,Kab Merauke
9502,95,Papua Selatan,2,Kab Boven Digoel
9503,95,Papua Selatan,3,Kab Mappi
9504,95,Papua Selatan,4,Kab Asmat
9601,96,Papua Tengah,1,Kab Mimika
9602,96,Papua Tengah,2,Kab Dogiyai
9603,96,Papua Tengah,3,Kab Deiyai
9604,96,Papua Tengah,4,Kab Nabire
9605,96,Papua Tengah,5,Kab Paniai
9606,96,Papua Tengah,6,Kab Intan Jaya
9607,96,Papua Tengah,7,Kab Puncak
9608,96,Papua Tengah,8,Kab Puncak Jaya
9701,97,Papua Pegunungan,1,Kab Nduga
9702,97,Papua Pegunungan,2,Kab Jayawijaya
9703,97,Papua Pegunungan,3,Kab Lanny Jaya
9704,97,Papua Pegunungan,4,Kab Tolikara
9705,97,Papua Pegunungan,5,Kab Mamberamo Tengah
9706,97,Papua Pegunungan,6,Kab Yalimo
9707,97,Papua Pegunungan,7,Kab Yahukimo
9708,97,Papua Pegunungan,8,Kab Pegunungan Bintang
